сокращение,﻿abbreviation
"1) знак, символ, цифра; 2) литера; 3) признак ",character
1. заряд; 2. заряжать ,charge
"проверять, контролировать ",check
"выбор, отбор ",choice
круглый ,circular
"1. 1) ясный, светлый; 2) чистый; 2. 1) очищать; 2) гасить, устанавливать в исходное положение",clear
закрывать,close
"1)  кисть, гроздь, учок, связка; 2)  группа, скопление; 3) кластер, пакет, блок ",cluster
"1. 1) код; 2) система кодирования; 3) код, про­грамма; 2. кодировать ",code
двоеточие ,colon
цвет ,color
"1) объединять, сочетать; 2) комбинировать ",combine
запятая ,comma
commas кавычки ,inverted
"1. команда, приказ; 2. приказывать ",command
"1) коммуникация, связь; 2) со­общение, передача; 3) связь, общение ",communication
"сравнивать, сличать",compare
"1) совместимый, сочетаемый; 2) сход­ный ",compatible
1) полный; 2) законченный ,complete
"совершенно, полностью, вполне ",completely
1. компромисс; 2. пойти на ком­промисс,compromise
"вычислять, считать, подсчитывать",compute
"1) вычислитель, счетчик, счетно-решающее устройство; 2) ЭВМ, компьютер; personal ",computer
"понятие, идея, общее представление, кон­цепция",concept
"конфликт, конфликтная ситуация",conflict
"соединять, связывать",connect
"сохранять, хранить",conserve
состоять,consist
"1) последовательный; 2) совместимый, согласующийся",consistent
"1) консоль, кронштейн; 2) пульт (управления), пульт оператора",console
содержать в себе,contain
1) мн. ч. содержимое; 2) мн. ч. содержа­ние книги,contents
"смежный, соприкасающийся",contiguous
продолжать,continue
"непрерывный, постоянного действия, длительный",continuous
"1) управление, руководство; 2) власть; 3) надзор, контроль, проверка; 4) регулировка",control
"удобный, подходящий",convenient
1) договор; 2) условность,convention
"превращать, преобразовывать",convert
копирование файлов на другие диски и директо­рии,COPY
aвторское право,copyright
шнур,cord
"правильный, верный, точный",correct
"1) соответствовать, отвечать; 2) бытьналогичным",correspond
покрывать,cover
зд. напарник,coworker
"творить, создавать",create
"создание, (со)творение",creation
"1) крест; 2) перекрестие, перекрещивание",cross
текущий,current
течение; ток,current
"тех. указатель, курсор",cursor
циклический,cyclic
"1) цилиндр; 2) валик, барабан",cylinder
темный; go dark темнеть,dark
"pi данные, факты, сведения",data
"дата, число (месяца)",date
"(dealt, dealt) 1) раздавать, выдавать; 2) заниматься чём-л.; иметь дело (с чем-л, кем-л)",deal
"1) налаживать машину; 2) отлаживать (про­грамму или машину), устранять неполадки, устранять неис­правности",debug
"решать, принимать решение",decide
"1. 1) отсутствие чего-л.; 2) умолчание, опера­тор умолчания; 2. подразумеваемый, устанавливаемый по умолчанию; on ~ неявно, по умолчанию",default
"1) неполный, недостаточный; 2) неисправ­ный",defective
"1) определять, давать определение; 2) давать характеристику; 3) устанавливать значение",define
"1) вычеркивать, стирать; 2) изглаживать из па­мяти, уничтожать, не оставлять следов",delete
1) отрицать; 2) отказываться; 3) не допускать,deny
1) подавлять; 2) опускать; надавить,depress
"описывать, изображать",describe
"1. замысел, план; 2. 1) замышлять, 2) предназначать; 3) составлять план, проектировать",design
"1) назначение; 2) место назначения; 3)дресат информации; ~ disk диск, на который ведется запись",destination
"разрушать, разбивать",destroy
разрушительный,destructive
"устройство, приспособление, механизм,ппа­рат, прибор",device
"диаграмма, график",diagram
"отличаться, различаться",differ
"разница, различие, несходство, отличие",difference
"1) различный, разный, отличный, несход­ный; 2) иной, другой",different
"1) трудность; 2) препятствие, помеха",difficulty
"1) руководить, управлять; 2) направлять",direct
"прямо, непосредственно",directly
"1)дресная книга, справочник; 2) дирек­тория, каталог, current ~ текущая директория; default ~ директория, имя которой можно не указывать (обычно рабочая, текущая директо­рия); working ~ рабочая директория",directory
обсуждать,discuss
"диск; blank ~ чистый диск; double-density ~ диск с удвоенной плотностью; double-sided ~ двусторонний диск; master ~ диск-оригинал с записью программного обеспечения (напр. MS DOS); micro-floppy ~ гибкий микродиск; MS DOS installed - инсталляционный диск для установки операционной системы на компь­ютер; MS DOS Shell ~ диск, содержащий программу-обо­лочку для MS DOS (выпускается начиная с версии 4.1); RAM ~ = randomccess memory ~ имитация диска в па­мяти компьютера для временного хранения данных; single-sided ~ односторонняя дискета; source ~ диск, с которого осуществляется копирование; target ~ диск, на который осуществляется ко­пирование; write-protected ~ диск, за­щищенный от записи",disk
"дискета; source ~ дискета, с ко­торой осуществляется копирование; target ~ дискета, на которую осуществляется копирование",diskette
"1. 1) показ, выставка; 2) дисплей, вывод на экран дисплея; 2. выводить на экран дисплея; LCD = Liquid-crystal ~ дисплей на жидких кристаллах",display
"делить, разделять",divide
"DISK Operating System операционная система, храня­щаяся на диске",DOS
точка,dot
"1. сомнение, нерешительность; 2. сомневаться",doubt
1) вниз; 2) внизу,down
"дисковод, накопитель; default ~ диско­вод, используемый по умолчанию; external floppy disk ~ внешний (дополнительный) дисковод; internal floppy disk ~ встроенный в компьютер дисковод; working ~ рабочий дисковод; ~ identifier идентификатор дисковода",drive
= DRIVE PARAMETER изменение стандартных параметров дисковода,DRIVPARM
"1. дубликат, копия; 2. 1) снимать ко­пию; 2) дублировать",duplicate
"в течение, в продолжение, во время",during
пыль,dust
"легко, свободно, без труда",easily
"легкий, нетрудный",easy
"1. повторять, отражать звук; 2. отображение выполняемых команд на экране дисплея",echo
"редактировать, подготавливать к печати",edit
редактор,editor
"отредактированный текст, информация",edits
"результат, следствие",effect
"... or или ... или, либо ... либо",either
"еще, кроме",else
"встроенный, включенный, заделанный",embedded
"пустой, незаполненный",empty
1) встречаться; 2) сталкиваться,encounter
курсора в конец строки,ENDеревод
"1. конец, окончание, предел; 2. кончаться, закан­чиваться",end
1. достаточный; 2. достаточное количество; 3;:,enough
"достаточно, довольно ",adv
"полный, целый, весь",entire
"1) окружающая обстановка, сре­да; 2) конфигурация ",environment
1) одинаковый; 2) равный; - sign знак равенства ,equal
"оборудование, оснащение ",equipment
"1. эквивалент, равноценный замени­тель; 2. равноценный, равносильный",equivalent
"ошибаться, заблуждаться",err
"1) ошибка, заблуждение; 2) ошибка, погрешность; ",error
"~ writing ошибка, допущенная при записи данных на диск; disk ~ reading ошибка, допущенная при считывании данных с диска; divide ~ ошибка, допущенная при делении ",disk
"1. бегство, побег, 2. бежать ",escape
"и т.д., и т.п. ",etc
даже ,even
всё ,everything
точно ,exactly
пример; for например ,example
"превышать, переходить границы ",exceed
"исключая, кроме; ~ for за исключением ",except
выполнимый ,executable
"выполнение, исполнение ",execution
"1. исполнительный; 2. организующая программа, управляющая программа ",executive
"упражнение, тренировка ",exercise
"существовать, жить ",exist
выход,exit
объяснять,explain
"1) протягивать, вытягивать; 2) расширять; 3) продлить, удлинить",extend
: file ~ расширение имени файла,extension
"добавочный, дополнительный",extra
"крайне, чрезвычайно, в высшей степе­ни",extremely
потерпеть неудачу,fail
"1) неуспех, неудача, провал; 2) отказ, сбой ",failure
"1) крепко, сильно, прочно; 2) быстро, скоро ",fast
"1) цифра, число; 2) диаграмма, рисунок, чертеж ",figure
"1) регистратор для бумаг; 2) подшитые бумаги, де­ло, досье; 3) картотека; 4) файл; batch ~ файл, содержащий группу команд",file
фильтр,filter
финансы,finance
"(found, found) находить, отыскивать; встречать, обнаруживать; ~ out выяснять",find
"заканчивать, завершать",finish
"ограниченный, имеющий предел",finite
"соответствовать, годиться, совпадать",fit
"укреплять, закреплять",fix
зд. откидная обложка книги,flap
плоский,flat
гибкость,flexibility
1) свободно висящий; 2) гибкий,floppy
"папка, скоросшиватель",folder
следовать,follow
"1) следующий; 2) нижеследующий, ниже­упомянутый",following
" шрифт, комплект шрифта",font
"для, ради",for
"форма, внешний вид",form
"1. 1) формат; 2) размер, форма; 2. форматировать, задавать ",format
"card, четыре",fourum.
"свобода, независимость",freedom
"1) указывает на пространственные отношения - от, из, с; 2) указывает на отправную точ­ку- с, от",from
полный,full
"1) функция, назначение; 2) функция, дея­тельность",function
сравн. cm. om far 1) более отдаленный; 2) дальнейший,further
"(gave, given) давать",give
"1) глоссарий; 2) словарь, приложенный в конце книги",glossary
светиться,glow
"(went, gone) 1) идти, ходить, быть в движении, пе­редвигаться; 2) ехать, путешествовать",go
"графический, представленный в виде черте­жа, графика или формулы",graphic
"проектирование, составление проекций, графиков, чертежей; графика, чертеж",graphics
зеленый,green
1. группа; 2. группироваться,group
"(grew, grown) расти, увеличиваться, усиливаться",grow
"1) проводник, гад; 2) путеводитель, руководство, учебник",guide
"1., привал, остановка; 2. останавливаться",halt
"руководство, справочник",handbook
"1. ручка, рукоятка; 2. 1) брать руками; 2)",handle
"3) оперировать, манипулировать ",управлять;
1) манипулятор; 2) программа обработки,handler
удобный (для пользования) ,handy
"случаться, происходить ",happen
"жесткий, твердый",hard
"1) металлические изделия, скобяной то­вар; 2) ппаратура, оборудование, ппаратные средства  (в отличие отрограммных); 3) технические средства, меха­ническое обеспечение ",hardware
"1. вред, ущерб; 2. наносить вред, ущерб",harm
"(had, had) иметь have to , has  to выражает  долженствование, вынужденность совершения действия - должен, вынужден ",have
"заголовок, заглавие",heading
"(heard, heard) слышать",hear
"1. 1) помощь; 2) средство; 3) спасение; 2. помо­гать, оказывать помощь, содействие  ",help
здесь ,here
"(hid, hidden) прятать(ся), скрывать(ся) ",hide
"(held, held) держать; ~ down держать в горизон­тальном, нажатом положении ",hold
час,hour
как? каким образом?,how
"1) устанавливать тождество, идентифици­ровать; 2) устанавливать, определять ",identify
если,if
"не обращать внимания, не замечать, игнориро­вать, пренебрегать, пропускать",ignore
недопустимый,illegal
"иллюстрировать, снабжать рисунками ",illustrate
важный,important
"невозможный, невыполнимый, неосу­ществимый ",impossible
"1) указывает на нахождение внутри или в преде­лах чего-л. - в, на, у; 2) указывает на вхождение или внесе­ние в пределы или внутрь чего-л. - в, на",in
дюйм ,inch
"содержать в себе, иметь в своем составе, включать ",include
включая ,including
несовместимый ,incompatible
"1) несовместимый; 2) непоследова­тельный, противоречивый ",inconsistent
"неправильный, неверный, неточный ",incorrect
"1) индекс, указатель; 2)лфавитный указатель ",index
"показывать, указывать ",indicate
"указатель, показатель ",indicator
"личный, индивидуальный ",individual
"бесконечный, безграничный  ",infinite
"1) инициализировать, устанавливать в начальное значение, состояние; ",initialize
"1)одача, ввод информации; 2) информация на входе ",input
"1. вставка, вклейка; 2. вставлять, вкла­дывать",insert
"1) помещать, устраивать; 2) устанавливать, монтировать",install
"пример, образец, случай",instance
"of вместо, взамен",instead
"1) обучение; 2) мн. ч. инструкции, ука­зания",instruction
"недостаточный, несоответствующий, не­удовлетворительный, неполный",insufficient
"заменяя друг друга, по­очередно сменяя друг друга",interchangeably
"промежуточный, переходный",intermediate
внутренний,internal
"вводить, вставлять, помещать",introduce
"1) знакомство; 2) предисловие, вве­дение, вступление",introduction
недействительный,invalid
курсив,italics
"1) пункт, параграф; 2) отдельный предмет (в списке и т.п.)",item
"его, ее, свой (о предмете)",its
"себя, себе, собой",itself
"1) куртка, жакет; 2) папка, обложка; 3) чехол, оболочка",jacket
"1) работа, дело, труд; 2) задание, задача",job
присоединение имени дисковода к имени часто используемой директории,JOIN
"1) соединять(ся), объединять усилия; 2) присое­диняться)",joint
"1) именно, как раз точно; 2) едва; 3) только что",just
"(kept, kept) иметь, хранить",keep
"1) ключ; 2) ключ, разгадка; 3) клавиша; function ~ функциональная клавиша; special ~ специальная клавиша",key
клавиатура,keyboard
(малая) клавиатура,keypad
"сорт, разновидность, класс, разряд",kind
"(knew, known) знать",know
"1. 1) ярлык, этикетка, бирка; 2) метка, маркиро­ванный знак, отметка; 2. 1) прикреплять ярлык, 2) мар­кировать, размечать, обозначать",label
1) язык; 2) речь,language
последний,last
"(later, last) поздний",late
сравн. ст. от late более поздний,"later,"
"изучать, учить",learn
"превосх. ст. от little менее всего, в наимень­шей степени;t ~ по крайней мере","least,"
"(left, left) оставлять, покидать",leave
крайний левый,leftmost
"законный, узаконенный",legal
"(let, let) позволять, разрешать",let
буква,letter
уровень,level
"1. свет, освещение; 2. зажечь свет",light
"1) нравиться, любить; 2) предпочитать",like
"подобный, похожий",like
1) линия; 2) строка; command - ко­мандная строка,line
"1. л связующее звено, связь, соединение; 2. соеди­нять, связывать, смыкать, сцеплять",link
"1. список, перечень, реестр, инвентарь; 2. состав­лять список, вносить в список",list
"1. мало, немного; 2. маленький, небольшой",little
"1) грузить, нагружать; 2) заряжать, загружать",load
"устанавливать, определять точное место",locate
"1. замок, запор, затвор; 2. запирать",lock
"1) длинный; 2) долгий, продолжительный",long
"смотреть, глядеть; -fter 1) присматри­вать; 2) следить",look
"(lost, lost) терять, лишать(ся), утрачивать",lose
низкий,low
нижний регистр,lowercase
"машина, механизм ",machine
"магнетизм, земное притяжение ",magnetism
"(made, made) делать, изготовлять, производить ",make
"i) руководить, управлять; 2) справляться ",manage
л руководство,manual
"(more, most) многие, многочисленные; много-how ~? сколько?",many
"1) ставить знак, маркировать; 2) отмечать, обоз­начать",milt
"1) подходить (под пару); 2) подгонять, вырав­нивать; 3) согласовывать",match
"максимум, максимальное значение,",maximum
"выражаетредположение, вероятность, возмож­ность - может, возможно ","may,"
"(meant, meant) 1) подразумевать, иметь в виду; 2) значить",mean
значение,meaning
"средство, способ, путь",medium
мегабайт (106 байт),megabyte
"1) память, воспоминание; 2) память, запо­минающее устройство",memory
(программа) управляемая с помощью меню,menudriven
"сообщение, донесение; error ~ сообщение об ошибках",message
"плохо сочетаться, не соответствовать",mismatch
"(misspelt, misspelt) делать орфографические ошибки",misspell
"1) метод, способ; 2) образ действия, манера",mode
модифицировать,modify
"влажность, влага, сырость",moisture
л тех. монитор,monitor
л месяц,month
"1. сравн. ст. от much и many - больший, более многочисленный; 2. - сравн. ст. от much больше",more
1) зоол. мышь; 2) «мышь» (устройство для отработки положения указателя/курсора на экране дисп­лея),mouse
многоуровневый,multilevel
"выражает долженствование, долг, необходи­мость - должен, обязан",must
1. имя; file ~ имя файла; 2. име­новать,name
"1) нуждаться (в чём-л.), иметь надобность, потреб­ность; 2) требоваться",need
1. гнездо; 2. 1) вить гнездо; 2) вставлять (один предмет в другой),nest
"1) сеть; 2) группа компонентов, соединен­ная линиями связи",network
новый,new
следующий,next
шум,noise
неперемещаемый,nonremovable
не соответствующий установлен­ным нормам,nonstandard
"обыкновенно, обычно",normally
обозначение условными значками,notation
"1) метка, зарубка; 2) лаз, выемка, вырез",notch
"замечать, обращать внимание",note
"замечать, обращать внимание",notice
"1) число, количество; 2) номер; ~ (of) ряд, несколько",number
"числовой, цифровой, численный",numerical
"занимать, заполнять",occupy
"1) случай, происшествие; 2) возникнове­ние",occurrence
указывает на принадлежность,of
"указывает на внезапное прекращение действия, вы­ключение прибора или механизма",off
"1) служба, место, должность; 2)дминистратив­ное помещение, контора",office
"старый, старинный",old
"один раз, однажды;t ~ сразу, немедленно ",once
"card. 1) один; - hundred сто; 2) номер один, первый:olume ~ первый том ",oneum.
"открывать(ся), раскрывать(ся)",open
"действие, операция, работа, приведение в действие ",operation
"работающий на машине, управляющий машиной или механизмом, оператор",operator
1) выбор; 2) предмет выбора ,option
"необязательный, факультативный or [a] или",optional
"1) порядок, последовательность; 2) исправное со­стояние ",order
"организовывать, устраивать, налаживать ",organize
"иначе, иным образом ",otherwise
"of 1) указывает  наоложение вне другого предмета -  вне, за, из;  2) указывает на движение за какие-л пределы - из ",out
"1) выпуск, выработка; 2) выход, вывод;",output
"(overcame, overcome) 1) побороть, побе­дить; 2) преодолеть ",overcome
"1) вытекание через край; 2) избыток, пе­реполнение ",overflow
обзор,overview
"сделать слишком большую запись, пере­полнить записью ",overwrite
собственный,own
"1. 1) узел, блок, пакет; 2) корпус; 2. паковать ",pack
страница,page
"1) панель; 2) приборная панель, щит управле­ния",panel
1. параллель; 2. параллельный ,parallel
параметр,parameter
"1) часть, доля; 2) запасная часть",part
"1) особый, специфический; 2) частный",particular
"1) расчленение, разделение; 2) раздел, часть, сегмент, сектор",partition
"1) мимо; 2) за, по ту сторону; 3) после, за",past
"указание MS DOS, где нужно искать какой-либо файл",PATH
"1) тропинка, тропа, дорожка; 2) путь, стезя; 3) путь к файлу",path
указание пути к файлу,pathname
"пауза, перерыв, остановка, перемена, передышка",pause
"исполнять, выполнять, делать",perform
"1) период, промежуток времени; 2) точка, пауза в конце фразы",period
"1. периферийный; 2. периферийное оборудование, внешнее оборудование, внешнее устройство",peripheral
"разрешать, позволять",permit
"личный, персональный",personal
"физически, материально",physically
"1) кусок, часть; 2) штука, определенное количество, отдельный предмет",piece
"1) труба, трубопровод; 2) передача данных, перекачивание",pipe
"помещать, ставить",place
1) знак плюс; 2) добавочное количество,plus
"1) точка; 2) пункт; 3) точка, место",point
"1) тех. отверстие, проход; 2) порт (многоразрядный вход или выход в устройство)",port
"портативный, переносный, передвижной",portable
"1) часть, доля; 2) порция; 3) узел, блок ",portion
"1. положение, местонахождение; 2. ставить, помещать ",position
"возможный, вероятный ",possible
"мощность, энергия ",power
"сильный, мощный",powerful
"1) приготавливать; 2) готовить(ся), подготавливать(ся) ",prepare
"1) присутствующий, имеющийся налицо; 2)настоящий, нынешний, теперешний, современный ",present
"жать, нажимать, давить ",press
предотвращать,prevent
"1) предварительно, заранее; 2) до, перед ",previously
"первоначальный, самый ранний, первый, первичный ",primary
"1. 1) оттиск, отпечаток, след; 2) шрифт, печать; 2. 1) печатать; 2) запечатлевать ",print
"1) печатник, типограф; 2) принтер, печатающее устройство ",printer
вероятный,probable
"1. процесс, состояние, стадия; 2. обрабатывать ",process
"1) предъявлять; 2) производить, вырабатывать ",produce
программа ,program
"проект, план",project
"1. 1) напоминание; 2) подсказка; 2. 1) побуждать, внушать; 2) подсказывать ",prompt
"правильный, надлежащий, должный ",proper
"1) защищать, ограждать; 2) предохранять ",protect
защитный ,protective
"снабжать, обеспечивать ",provide
при условии,provided
пунктуация ,punctuation
"(put, put) класть, положить",put
"mark знак вопроса, вопросительный знак",question
1) очередь; 2) очередность; 3) список очередно­сти,queue
"быстро, скоро",quickly
"прекращать, бросать, оставлять",quit
"1) ряд, линия; 2) диапазон; 3) пределы, про­тяжение, пространство ",range
быстро ,rapidly
"1) норма; 2) пропорция, коэффициент, степень, процент, доля; 3) темп, скорость, интенсивность ",rate
"довольно, до некоторой степени ",rather
"1. считывание; 2. (read, read) 1) чи­тать; 2) считывать ",read
1) чтение; 2) считывание ,reading
"готовый, подготовленный ",ready
1) получать; 2) принимать (сигнал) ,receive
1. запись; 2. записывать ,record
"1) получать обратно; 2) регенерировать, воз­вращать, восстанавливать ",recover
"способный к восстановлению, восста­новимый ",recoverable
"перенаправлять, направить снова, повторно ",redirect
"л вывод на экран дисплея повторно, зано­во ",re-display
"1) посылать, отсылать; 2) ссылаться ",refer
"1) ссылка (на кого-л., что-л.); 2) спра­вочник ",reference
независимо от ,regardless
"вставлять снова, повторно",reinsert
"1)  устанавливать  связь  или  отношение;  2)иметь отношение, относиться ",relate
"(to) связанный (с), имеющий отношение (к) ",related
"перезагружать, загружать повторно ",reload
остаток ,remainder
остающийся,remaining
"1. 1) замечание; 2)римечание; 2. заме­чать, делать замечание ",remark
"помнить, хранить в памяти ",remember
"1)ередвигаемый,одвижный, съем­ный; 2) сменяемый ",removable
"1) передвигать, переносить; 2) убирать, уно­сить ",remove
"переименовывать, давать новое имя ",rename
ремонтировать ,repair
повторять,repeat
"неоднократно, часто, повторно ",repeatedly
"1) ставить или класть обратно; 2) заменять,",replace
"заменяемый, съемный ",replaceable
"1. сообщать, рассказывать, описывать; 2. до­клад ",report
"1) приказывать, требовать; 2) нуждаться ",require
"1) запасной, резервный; 2) заказанный ра­нее, зарезервированный ",reserved
"перенастроить, переустановить ",reset
"пребывать, находиться",reside
1) постоянный житель; 2) резидент; 3) ре­зидентная часть программы ,resident
1) ответ; 2) реакция ,response
"начинать снова, возобновлять работу ",restart
"1) возвращать, отдавать обратно; 2) возвращать на прежнее место, в прежнее положение; 3) восстанавливать; 4) реставрировать",restore
"ограничивать, держать в определенных пре­делах",restrict
"1. ресинхронизация, повторное выравнива­ние по времени; 2. синхронизировать снова, заново",resynch
"снова пробовать, делать новую попытку",retry
1. возвращение; 2. возвращаться,return
1) перепечатывать; 2) заново набрать на кла­виатуре,retype
"1. 1) обозрение, 2) журнал; 2. рассматривать",review
крайний правый,rightmost
"1) комната, помещение; 2) место, пространство; 3) участок памяти (для хранения блока данных)",room
корень,root
правило,rule
"(ran, run) 1) бежать; 2) работать, действовать",run
безопасный,safe
"продажа, сбыт",sale
"тот (же) самый, одинаковый",same
"образец, модель, шаблон",sample
"1) спасать; 2) беречь, экономить",save
"1) список, каталог, опись; 2) расписание",schedule
"1) ширма, экран, щит; 2) кино-, радио-экран; 3) экран дисплея",screen
1. свиток 2. просматривать свиток,scroll
1. поиск; 2. искать,search
секретный,secret
сектор,sector
"(saw, seen) смотреть",see
1. 1) сегмент; 2) доля; 3) часть; 2. де­лить на части,segment
отбирать,select
1. отдельный; 2. отделять,separate
последовательность,sequence
port последовательный порт (разъем),serial
"ряд, серия",series
сеанс работы с системой,session
"1. набор, серия; 2. устанавливать, назначать",set
семь,seven
несколько,several
разделять (с кем-л. что-л.),share
1) раковина; 2) оболочка; 3) каркас,shell
"1. сдвиг, переключение; 2. передвигать",shift
"кратчайший путь, рациональный способ",shortcut
показывать,show
"л сторона, часть,спект",side
подпись,signature
подобный,similar
так же,similarly
просто,simply
с тех пор как; после того как,since
единственный,single
размер,size
"пропускать, перепрыгивать",skip
1) разрез; 2) косая черта,slash
медленно,slowly
программное обеспечение,software
кто-нибудь,someone
"1. вид, сорт, способ; 2. сортировать",sort
"that ... так, чтобы ...",so
источник,source
"1) пространство; 2) занимаемое место; 3) интер­вал; 4) пробел, промежуток",space
особый,specific
"спецификация, перечень",specification
определять,specify
"пятно, место",spot
1. 1) стандарт; 2) образец; 2. стандарт­ный,standard
начинать,start
"1. начало, пуск; 2. появляться, начинать",start-up
"статус, состояние",status
"шаг, этап",step
"хранение, запоминающее устройство",storage
хранить,store
"(struck, struck) ударять",strike
"ряд, вереница, последовательность",string
структура,structure
"субдиректория, подкаталог",sub-directory
"заменять, замещать",substitute
успех,success
~s такой как,such:
достаточный,sufficient
подходящий,suitable
суммировать,summarize
"1. резюме, выводы; 2. краткий",summary
"подавать, подводить, питать",supply
"1. поддержка, помощь; 2. поддерживать, по­могать",support
уверенный; to be ~ быть уверенным,sure
приостанавливать,suspend
1) переключение; 2) переключатель,switch
"символ, знак",symbol
синтаксис,syntax
система,system
"1) стол; 2) таблица, расписание, график",table
"составление таблиц, сведение в таблицы, классификация, табулирование",tabulation
"(took, taken) брать",take
"1) цель, мишень; 2) объект, на который на­правлено действие",target
"задание, задача",task
телетайп,teletype
"(told, told) рассказывать, говорить",tell
"шаблон, модель",template
временный,temporary
"1) термин; 2) период, срок",term
"1) конечная станция; 2) терминал, оконеч­ное устройство",terminal
"завершать, заканчивать, прекращать",terminate
"текст, оригинал",text
чем,than
их,their
там,there
эти,these
"вещь, предмет",thing
этот,this
"те (pl. от that тот, та, то)",those
через,through
1) время; 2) раз,time
"заглавие, название",title
"1) указывает на направление - к, на, в; 2) ука­зывает на предел движения - на, до",to
"1. слишком; 2. также, тоже",too
"1) полностью,бсолютно; 2) в целом, об­щем",totally
указывает на движение по направлению к предмету - к,toward
"1) след; 2) путь; 3) дорожка (на диске, дискете); keep ~ следить",track
"1. перенос, перенесение, перемещение; 2. переносить, перемещать, переставлять",transfer
"сообщать, передавать",transmit
"1) путешествовать, ездить; 2) перемещаться",travel
1) дерево; 2) родословное дерево,tree
"1) беспокойство, тревога; 2) затруднения",trouble
"пытаться, стараться",try
"поворачиваться; ~ on включать; - off выключать; in ~ в свою очередь, по очереди",turn
1) писать на машинке; 2) набирать текст на кла­виатуре и выводить на экран дисплея,type
"тип, вид; род, класс, группа",type
типичный,typical
