несчастный,miserabl
крепко / прочно,firmly
молочаливый / тихий,silent
немного,a bit
поворот / изгиб,twist
пара,pair
аптека,chemist
чемодан,suitcase
сухой,dry
отсутствовать,to be out
бить,beat
болеть / больной,sick / ill
восхищение,excitement
оценка,mark
восхищать / увлекать / радовать / удивлять,amaze
круг,circuit / spin
выходить на пенсию,retire
поток,float
выростать,grew up
стараться / пытаться,try
беспокоиться,worry
побережье,coast
навес / сарай / ангар,shed
заметный,noticable
утенок,duckling
становиться тепло / потеплеть,get warm
гнездо,nest
заметный,noticable
грязный,dirty
ствол,bole
весло,oar
дуплистый,hollow
разлить / разлиться,spill
затопить,flood
куст,bush
чихнуть / чихать,sneeze
правда,truth
на удачу,lucky
по-доброму,kindly
грубо,roughly
плечо,shoulder
восхищаться / удивляться,wonder
так же,either
быстро,quickly
замечать,notice
разгружать,upload
пока не,unless
ожидать,expect
загорать,sunbathe
хотя,although
шляпа,hat
полка,shelf
кроссовок,sneaker
солнцезащитные очки,sunglasses
запястье,wrist
кастрюля,sausepan
банка,pot
тряпка,rag
прилетели,came back
растаять,melt
ястреб,bawk
волк,wolf
кормить,feed
неволя,captivity
заживать,heal
оставлять / уезжать,leave
клюв,beak
щипать,pinch
отпустить,let go
дуга,bow
радуга,rainbow
цветок / соцветие,bloom
ботинок,boot
костюм,suit
юбка,skirt
рубашка,shirt
пальто,coat
население,population
дорожное движение,traffic
загрязнение,pollusion
холм,hill
мост,bridge
отдыхать,rest
раб,slave
специя,spice
торговля / торговый,trade
оркестр,orcestra
культурный,cultural
важный,important
между,between
выход,gateway / exit
смесь,hymn
замечательный / превосходный,excellent
продавать,sell
большой,large
хата / сарай / изба,hut
на юг,to the South
юг,south
север,north
немедленно,immediatly
когти,claw
расставаться,give up
жалеть,sorry about
включить,switch on / turn on
выключить,switch off / turn off
внешность,appearanse
различать,differ
быть полным,be full off
дичь,fowl
разбирать,sort out
снимать,take off
возвращаться,come back
однажды / один раз,once
довольный,pleased
отвечать / откликаться,answer
гладить,caress
кость,bone
мерзнуть,get cold
тосковать / скучать,miss
куст,bush
ломать,break
шея,neck
похлебка / суп,soup
лавка,bench
крыло,wing
зеркало,mirror
блестящий,shiny
порода,breed
убитый,killed
убить,kill
мешок,bag
угол,corner
ружье,gun
вор,thief
кивать,nod
жаждующий,thisty
доказать / одобрить,prove
менять,change
честно,honestly
ухмыляться,grin
колокольчик,bell
тротуар,pavement
двигатель,engine
глупый,stupid
ранить / ушибить,hurt
близкий,close
дальний,far
позаимствовать,borrow
рецепт,recipe
десерт,dessert
вкусный,delicous
колесо,whell
палец,finger
палочка для еды,chopstick
вилка,fork
нож,knive
селедка,herring
лапша,noodle
зависеть от чего-либо,depend on
блин,pancake
гарнир,garnish
каша,porridge
обычный / типичный,typical
средний,average / medium
в среднем,on average
прибытие,arrival
приблизительно,approximately
подавать заявку / письменно просить,apply for
увлеченный,addicted
за граница,abroad
дворец,palace
например / такие как,such as
Темза,Thames
королева,Queen
бензин,petrol
лоб,forehead
щека,cheek
поведение,behavior
Крым,Crimea
гулять / путешествовать / ходить в поход,hike
маршрут,route
присоединять,join
заранее,beforehand
остаться жить,settle
управлять / руководить,manage
исправлять / фиксировать,fix
приручать,tame
крошка,crumb
звать / звонить,call
мельник,miller
плотина,dam
охотиться,hunt
ходить на охоту,go hunting
дикий,wild
пруд,pond
разливаться,spell out
казаться,seem
на,upon
концерт,recital
великолепный,superb
поколение,generation
головешки,ashes
пепел,ash
посыльный,bell-boy
экран,screen
случай / емкость,case
внутри,within
перчатка,glove
прочный,solid
другой,another
отказаться,refuse
в любом случае,anyway
богатый,rich
противоестественно / противозаконно,anti-social
автответчик,answeringmachine
переставать существовать,annual
раздражающий,annoying
раздраженный,annoyed
раздражать,annoy
диктор,announcer
оповещение,announecement
лодыжка,ankle
древний,ancient
анализировать,analyze
количество / насчитывать,amount
целеустремленный,abitous
цель,abition
апплодировать,apploud
внешность,appearance
возникать,appear
видимо / вероятно,apparently
удивительно,amazingly
вдобавок к этому,apart from
удивительный,amazing
встревоженный,anxious
удивление,amazement
тревога,anxiety
все вместе,altogether
громко,aloud
пришелец / инопланетянин,alien
альбом,album
будильник,alarm clock
сигнализация,alarm
соглашаться,agree
агентство,agency
напоследок,afterwards
советовать,advise
рекламировать,advert
совет,advice
реклама,advertisement
приключение,adventure
преимущество,advanage
заблаговременно,in advance
удочерять / усыновлять,adopt
соглашаться,admit
восхищаться,admire
привыкать,adapt
серьезный / точный,acute
действие,acting
приятель,acquaintance
достигать,achieve
точный,accurate
в соответствии с,accoding to
место прибывания,accommodation
исключительный,acceptable
принимать,accept
академический,academic
брань / оскорбление,abuse
отсутствующий,absent
абориген,aborighe
прекращать,abandon
все еще,still
одинаковый,same
каждый,each
ненавидеть,hate
позволять себе что-либо материальное,afford
совет,advice
еда / блюдо,meal
рукопожатие / объятие,squeeze
сбежать / сбегать,escape
звезда,star
притворяться,pretend
вход,entrance
посылка,parcel
казаться,seem
пастух,cowboy
исключая / кроме,except
где-либо / где-то,somewhere
в течение,during
обезболивающее,painkiller
передавать,transmit
модный,fashionable
брюки,trousers
ткань,cloth
офицантка,waitress
пустой,empty
беседовать / беседа,chat
обручиться,get engeged
выйти за муж,get married
встревоженный,worried
век,century
вкусный,delicious
пылесос,vacuumcleaner
рецепт,recipe
блюдце,souser
консервныя банка,tin
спрашивать,inquire
горло,throat
против / навсречу,against
крутиться,twist
падать,drop
возможно,might
покрывать,cover
через,cross
торопиться,hurry
получать,receive
подписывать,sign
считать,count
нести,carry
полезный,useful
брать взаймы,borrow
глупый,stupid
Рождество,Christmas
слеза,tear
выжить,survive
бизнессмен,busnessmen
богатый,rich
молочник,grocer
над,above
независимость,independence
вдова / вдовец,widow
табак,tobacco
солдат,soldier
владеть,own
продавать,sell
снег,snow
хлопок,cotton
статья / заметка,article
восклицать / воскликнуть,exclaim
палка / прут,stick
шанс,chance
отвратительный / мерзкий,nasty
добавалять,add
блюдо,plate
гардероб,wardrobe
рука,hand
светить,shine
двигатель,engine
мебель / обстановка,forniture
определенно / безусловно,certainly
колебаться / сомневаться,hesitate
прибодрять,encourage
объяснять,explain
вместо,instead
качать головой отрицательно,nodd
перебивать,interrupt
вточности,exactly
поблизости,nearby
довольно,enough
старый / древний,antique
растение,plant
почти / после,next to
далеко,far
бассейн,pool
хотеть пить,thirsty
наверху / верхняя часть,upstairs
внизу / нижняя часть,dowstairs
стена,wall
вспомогательный / запасной,emergency
секция / отдел,section
кабина авиадиспетчера,cockpit
богатый / роскошный,luxury
трап,steps
парадный вход,front door
струя / реактивный двигатель,jet
который,which
стесняться,shy
плита,cooker
стиральная машина,washing machine
камин / очаг,fireplace
сад / парк,garden
посудомоечная машина,dishwasher
туалет / костюм,toilet
гардероб / платяной шкаф,wardrobe
книжная полка,bookshelf
гостинная,living room
ковер / коврик,rug
диван,sofa
шкаф / буфет,cupboard
перед,in front of
почти,next to
под,under
нога,leg
сосед,neighbour
забег / гонки,race
вечер / вечером ,tonight
приглашать,invite
Будапешт,Budapest
Вашингтон,Washington
Пекин,Beijing
Рим,Rome
Париж,Paris
Вена,Vienna
Берлин,Berlin
Лондон,London
Лиссабон,Lisbon
Мадрид,Madrid
Венгрия,Hungary
США / Соединенные Штаты Америки,USA / United States of America
Китай,Chine
Италия,Italy
Франция,France
Польша,Poland
Германия,Germany
Англия / Великобритания,England
Португалия,Portugal
Испания,Spain
фотопленка,exposure
значить,matter
словарь,dictionary
муж,nusband
гимнастика,gym
семейный / домашний,domectic
ухаживать,nurse
внутри,inside
снаружи,outside
сильно,heavily
указывать,point
удовольствие,pleasure
спрашивать,inquire
спор,argument
голос,voice
поднимать,lift
голосовать на дороге,hitch-hike
толстовка,jersey
дорога,road
север,north
неудачливый,unlucky
убийство / убивать,murder
прогноз погоды,forecast
торопиться,hurry
передавать / сдать / передать,pass
еще не,yet
грузовик,lorry
печенье,biscuit
ворота,gate
отвечать,empty / replay
только что,just
понимать,understand
встревоженно,anxiously
пахнуть / запах,smell
улыбаться,smile
продолжать / продолжить,continue
медленно,slowly
ступень,stair
влезать / залезать / карабкаться,climb
удар / толчек,kick
команда,team
в точности / как раз,exatly
нести / носить,carry
поймать / схватить,catch
шляпа,hat
зонтик,umdrella
гордый,proud
беспокоиться о,worry about
популярный чем-либо,populat with
терпеливый к,paitent with
волнующийся о,nervous about
страстно увлеченный,keen on
ревнивый к,jealous of
в честь чего-либо,in favour of
ответственный за,in change of
способный к,good at
увлекаться чем-либо,fond of
близкий к,close to
заботиться о,care about
самолет,plane
Санкт-Петербург,Saint-Peteraburg
ужасный,horrible
ужас,horror
радость,engoyment / joy
приятный / приносящий радость,enjoyable
получать удовольствие,enjoy
скучающий,bored
скучный,boring
скука,boredom
скучать,bore
дождливый,rainy
дождь / идет дождь,rain
образованный,educated
образовательный,educational
образование,education
получать образование,educate
оптимистичный,optimistic
оптимизм,optimism
небрежный,uncareful
заботливый,careful
забота,care
стильный,stylish
стиль,style
романтично,romantically
романтика,romantism / romance
романтичный,romantic
нетрадиционный,untreditional
традиционный,traditional
традиция,tradition
преуспеыать,succeed
безуспешный,unsuccessful
успешный,successful
успех,success
привлекать,attract
непривлекательный,unattractive
привлекательный,attractive
экзамен,exam
железная дорога,railway
станция,station
высота,height
кража,robbery
продавать,sell
детство,childfood
борода,beard
владелец,owner
воровать,steal
тюрьма,prison
трудность,trouble
мертвый,dead
учить,learn
достаточно,enough / quite
менять,change
зарабатывать,earn
нуждаться,need
бедный,poor
потом / после,then
архитектор,architect
множественный,plural
упражнение / тренировка,exercise
пляж,beach
кружка,mug
чашка,cup
медсестра,nurse
резать / отрезать,cut
теплый / огретый,warm
гора,mountain
поздний / запоздалый,late
половина,half
четверть,quater
до / раньше,before
пока / до,until
пока / до тех пор,till
расслаблять / расслабляться,relax
вещь / багаж,thing
особенно,especially
наш,our
администратор / секретарь,receptionist
умирать,die
происходить,happen
после,after
насчастный случай / авария / случай,accident
немногие,few
дорогой / ценный,expensive
переводчик,inerpreter
умный,clever
одевать / одеваться,dress / clothe
заменить,spell
подсчет / счет,account
возможно,perhaps
вино,wine
ужин,supper
бар,pub
пиво,beer
лодка,boat
турист,tourist
жена,wife
помошник,attendant
бухалтер,accountant
водитель скорой помощи,ambulanceman
почта,post
гробовщик / владелец похоронного бюро,undertaker
собирать / коллекционировать,collect
передавать / вручать,deliver
предпочитать,prefe
уставший,tired
язык,language
кольцо,ring
использовать / использование / приминение,use
театр,theater
отвращение / ужас,horrow
фильм ужасов,horrow film
значить / иметь значение,mean
сопровождать,accompany
работать много,work hard
игра / партия,party
ранний,early
прибывать,arrive
зима,winter
осень,autumn
весна,spring
лето,summer
декабрь,December
ноябрь,November
октябрь,October
сентябрь,September
август,August
июль,July
июнь,June
май,May
апрель,April
март,March
февраль,February
январь,January
в полдень,at noon
ночью,at night
вечером,in the evening
днем,in the afternoon
утром,in the morning
в выходной,at the weekend
суббота,Saturday
пятнца,Friday
четверг,Thursday
среда,Wednesday
вторник,Tuesday
понедельник,Monday
воскресенье,Sunday
на следующей неделе,next week
в следующем месяце,next month
в прошлом месце,last month
на прошлой неделе,last week
назад (времени),ago
вчера,yesterday
завтра,tomorrow
сейчас,at the moment / now
всегда,always
никогда,never
обычно,usually
редко,seldom
часто,aften
страшный / ужасный,horrible
трудный / сложный,difficult
медлительный / неторопливый,slow
ботинки / туфли,shoe
молодой / юный,young
волосы,hair
работа / труд,job
мыть / мыться,wash
встречаться / встречать / видеться,meet
цена,cost
волнение,boil
волновать / тревожить / беспокоить,disturb
дешевый,cheap
быстрый,expensive
страна / население,country
весь / целый,all
практика / приминение,practice
метро,subway
восхитительный,exciting
квартира,apartment
Швейцария,Switzeland
хорошо / удачно,well
кое-что / что-то,something
слушать,listen
смотреть / следить,look at
смеяться,laugh
сломанный,broken
ломать,break
письмо,letter
работать,work
смотреть / наблюдать,watch
обед,lanch
гулять,walk
дождь / идет дождь,rain
носить,weather
быть потише,be quiet
душ,shower
река,river
нога / ступня,foot
готовить / варить / жарить,cook
оставаться / гостить,stay
стоять,stand
пол,floor
надежда / надеяться,hope
давать,give
получать,get
будущее,future
друг,friend
чувствовать / ощущать,fell
ровный / гладкий,even
дверь,door
другой / отличный,different
письменный стол,desk
глубокий,deep
решать / решаться,decide
опасный,dangerous
плач / крик / кричать,cry
приходить / приезжать,come
ясный / чистый,clear
занятой / деловой,busy
верить,believe
просить / спрашивать,ask
снова / опять,again
способный,able
